,Course\Teacher,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
0,C01,,6.0,,,,2.0,,1.0,,4.0,,,,,,,,,,6.0,,1.0,,4.0,,8.0,,5.0,8.0,
1,C02,,1.0,,7.0,,4.0,,2.0,3.0,,8.0,,,,5.0,,9.0,,,,,,,,,,,,,3.0
2,C03,,4.0,2.0,,,3.0,,,6.0,,,,,,4.0,,,,,3.0,,3.0,,,,,,,,8.0
3,C04,,,3.0,1.0,,1.0,,6.0,4.0,,1.0,,,,,,,1.0,,4.0,,2.0,7.0,,,,,,,1.0
4,C05,,,1.0,10.0,,,2.0,5.0,10.0,3.0,,4.0,,,,,12.0,5.0,3.0,,,5.0,,,3.0,,,,1.0,2.0
5,C06,,,,,3.0,,4.0,,,,,,,,,,2.0,,4.0,,2.0,6.0,,,5.0,,,2.0,2.0,
6,C07,,9.0,4.0,,,,,3.0,11.0,,,,8.0,,7.0,7.0,,,1.0,5.0,7.0,,,,,,8.0,,9.0,
7,C08,,,,,,,,4.0,1.0,9.0,,5.0,,,1.0,1.0,5.0,,,1.0,,,,,,,,,,9.0
8,C09,,,,,,,,,,,6.0,,7.0,3.0,,3.0,,2.0,,2.0,3.0,,5.0,1.0,,,2.0,,,6.0
9,C10,,,,11.0,6.0,,,,,,,1.0,,,,,,,2.0,,,,4.0,,,,5.0,,,
10,C11,1.0,,,,,,,,,,,6.0,,,,4.0,,,,7.0,,4.0,2.0,,,4.0,,,,
11,C12,,8.0,,4.0,,,,,,12.0,2.0,,,1.0,,,1.0,,5.0,,,,,,,,,,6.0,5.0
12,C13,,,,,,,,,,,7.0,,,,,5.0,,10.0,,,11.0,,,6.0,,,,,4.0,
13,C14,5.0,,,2.0,5.0,,,,,,,3.0,1.0,,3.0,,,12.0,,,1.0,,3.0,3.0,,,,,,
14,C15,8.0,3.0,,,,,,,2.0,,,,4.0,,,,,3.0,,,4.0,,,,4.0,,,,,
15,C16,,,,,,,6.0,,,6.0,,7.0,,7.0,,6.0,7.0,,,,,7.0,10.0,,,1.0,,,,4.0
16,C17,,,,,2.0,,,,,,,,6.0,,,,,6.0,,,,,1.0,,,,,,3.0,7.0
17,C18,,7.0,,,9.0,,5.0,,9.0,,,2.0,,,,,,9.0,,,8.0,,,,,,,4.0,5.0,
18,C19,10.0,5.0,,6.0,,,1.0,,7.0,1.0,,,,,2.0,,6.0,,,,,,8.0,,,,,7.0,7.0,
19,C20,,2.0,,,1.0,,,,,2.0,9.0,,2.0,,,,8.0,,,,,,12.0,12.0,,3.0,4.0,,10.0,
20,C21,,10.0,,,,,7.0,,,10.0,,,3.0,,,,,,,,5.0,,11.0,,,,3.0,,,
21,C22,,,,,10.0,,,,8.0,,5.0,,,,,2.0,4.0,8.0,,,6.0,,9.0,,,,9.0,,,
22,C23,7.0,,,,,,,,5.0,,,,,,,,,,,,,,6.0,8.0,9.0,,1.0,,,
23,C24,,,,,,,,,,,,,5.0,,,,,,,,,,,7.0,8.0,,,,,
24,C25,,,,,7.0,,,,,,,,,2.0,,,,4.0,,,,,,2.0,10.0,5.0,,1.0,,
25,C26,2.0,,,,,,,,,,3.0,,,,,,13.0,,,,9.0,,,11.0,2.0,,6.0,6.0,,
26,C27,3.0,,,5.0,,,,,,7.0,,,,,,,,,,,,,,10.0,11.0,7.0,7.0,,,
27,C28,4.0,,,3.0,8.0,,,,,5.0,,,9.0,5.0,6.0,,3.0,7.0,,,,,,13.0,7.0,2.0,,9.0,,
28,C29,6.0,,,8.0,11.0,,3.0,,,8.0,,,11.0,4.0,,,10.0,11.0,,,,,,9.0,1.0,,,3.0,,
29,C30,9.0,,,9.0,4.0,,,,,11.0,4.0,,10.0,6.0,,,11.0,,,,10.0,,,5.0,6.0,6.0,,8.0,,
