,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,3
1,T02,Teacher 02,2
2,T03,Teacher 03,0
3,T04,Teacher 04,3
4,T05,Teacher 05,0
5,T06,Teacher 06,2
6,T07,Teacher 07,2
7,T08,Teacher 08,0
8,T09,Teacher 09,1
9,T10,Teacher 10,2
10,T11,Teacher 11,0
11,T12,Teacher 12,0
12,T13,Teacher 13,0
13,T14,Teacher 14,1
14,T15,Teacher 15,2
15,T16,Teacher 16,2
16,T17,Teacher 17,1
17,T18,Teacher 18,1
18,T19,Teacher 19,2
19,T20,Teacher 20,0
20,T21,Teacher 21,0
21,T22,Teacher 22,1
22,T23,Teacher 23,3
23,T24,Teacher 24,3
24,T25,Teacher 25,1
25,T26,Teacher 26,3
26,T27,Teacher 27,1
27,T28,Teacher 28,1
28,T29,Teacher 29,1
29,T30,Teacher 30,2
30,T31,Teacher 31,1
31,T32,Teacher 32,1
32,T33,Teacher 33,2
33,T34,Teacher 34,2
34,T35,Teacher 35,3
35,T36,Teacher 36,0
36,T37,Teacher 37,2
37,T38,Teacher 38,3
38,T39,Teacher 39,2
39,T40,Teacher 40,3
40,T41,Teacher 41,3
41,T42,Teacher 42,3
42,T43,Teacher 43,2
43,T44,Teacher 44,2
44,T45,Teacher 45,3
45,T46,Teacher 46,1
46,T47,Teacher 47,2
47,T48,Teacher 48,0
48,T49,Teacher 49,3
49,T50,Teacher 50,0
50,T51,Teacher 51,2
51,T52,Teacher 52,0
52,T53,Teacher 53,0
53,T54,Teacher 54,3
54,T55,Teacher 55,1
55,T56,Teacher 56,2
56,T57,Teacher 57,1
57,T58,Teacher 58,3
58,T59,Teacher 59,0
59,T60,Teacher 60,1
60,T61,Teacher 61,3
61,T62,Teacher 62,0
62,T63,Teacher 63,1
63,T64,Teacher 64,2
64,T65,Teacher 65,2
65,T66,Teacher 66,3
66,T67,Teacher 67,2
67,T68,Teacher 68,1
68,T69,Teacher 69,2
69,T70,Teacher 70,0
70,T71,Teacher 71,3
71,T72,Teacher 72,0
72,T73,Teacher 73,3
73,T74,Teacher 74,3
74,T75,Teacher 75,2
75,T76,Teacher 76,0
76,T77,Teacher 77,0
77,T78,Teacher 78,3
78,T79,Teacher 79,3
79,T80,Teacher 80,0
80,T81,Teacher 81,3
81,T82,Teacher 82,3
82,T83,Teacher 83,2
83,T84,Teacher 84,1
84,T85,Teacher 85,2
85,T86,Teacher 86,2
86,T87,Teacher 87,1
87,T88,Teacher 88,1
88,T89,Teacher 89,1
89,T90,Teacher 90,3
90,T91,Teacher 91,1
91,T92,Teacher 92,0
92,T93,Teacher 93,1
93,T94,Teacher 94,3
94,T95,Teacher 95,1
95,T96,Teacher 96,0
96,T97,Teacher 97,3
97,T98,Teacher 98,3
98,T99,Teacher 99,2
99,T100,Teacher 100,0
100,T101,Teacher 101,0
101,T102,Teacher 102,1
102,T103,Teacher 103,1
103,T104,Teacher 104,3
104,T105,Teacher 105,0
105,T106,Teacher 106,1
106,T107,Teacher 107,1
107,T108,Teacher 108,3
108,T109,Teacher 109,2
109,T110,Teacher 110,2
110,T111,Teacher 111,0
111,T112,Teacher 112,1
112,T113,Teacher 113,0
113,T114,Teacher 114,2
114,T115,Teacher 115,2
115,T116,Teacher 116,1
116,T117,Teacher 117,3
117,T118,Teacher 118,2
118,T119,Teacher 119,0
119,T120,Teacher 120,2
120,T121,Teacher 121,2
121,T122,Teacher 122,2
122,T123,Teacher 123,2
123,T124,Teacher 124,2
124,T125,Teacher 125,3
