,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,0
1,T02,Teacher 02,1
2,T03,Teacher 03,3
3,T04,Teacher 04,1
4,T05,Teacher 05,3
5,T06,Teacher 06,1
6,T07,Teacher 07,2
7,T08,Teacher 08,3
8,T09,Teacher 09,1
9,T10,Teacher 10,1
10,T11,Teacher 11,3
11,T12,Teacher 12,1
12,T13,Teacher 13,0
13,T14,Teacher 14,3
14,T15,Teacher 15,1
15,T16,Teacher 16,2
16,T17,Teacher 17,1
17,T18,Teacher 18,2
18,T19,Teacher 19,1
19,T20,Teacher 20,1
20,T21,Teacher 21,1
21,T22,Teacher 22,0
22,T23,Teacher 23,3
23,T24,Teacher 24,1
24,T25,Teacher 25,1
25,T26,Teacher 26,1
26,T27,Teacher 27,3
27,T28,Teacher 28,0
28,T29,Teacher 29,0
29,T30,Teacher 30,3
30,T31,Teacher 31,3
31,T32,Teacher 32,0
32,T33,Teacher 33,0
33,T34,Teacher 34,3
34,T35,Teacher 35,3
35,T36,Teacher 36,1
36,T37,Teacher 37,3
37,T38,Teacher 38,2
38,T39,Teacher 39,1
39,T40,Teacher 40,3
40,T41,Teacher 41,2
41,T42,Teacher 42,2
42,T43,Teacher 43,1
43,T44,Teacher 44,2
44,T45,Teacher 45,1
45,T46,Teacher 46,1
46,T47,Teacher 47,0
47,T48,Teacher 48,3
48,T49,Teacher 49,0
49,T50,Teacher 50,0
50,T51,Teacher 51,1
51,T52,Teacher 52,0
52,T53,Teacher 53,0
53,T54,Teacher 54,0
54,T55,Teacher 55,1
55,T56,Teacher 56,2
56,T57,Teacher 57,3
57,T58,Teacher 58,3
58,T59,Teacher 59,2
59,T60,Teacher 60,2
60,T61,Teacher 61,0
61,T62,Teacher 62,0
62,T63,Teacher 63,2
63,T64,Teacher 64,0
64,T65,Teacher 65,3
65,T66,Teacher 66,3
66,T67,Teacher 67,1
67,T68,Teacher 68,0
68,T69,Teacher 69,3
69,T70,Teacher 70,0
70,T71,Teacher 71,3
71,T72,Teacher 72,0
72,T73,Teacher 73,2
73,T74,Teacher 74,0
74,T75,Teacher 75,0
75,T76,Teacher 76,2
76,T77,Teacher 77,0
77,T78,Teacher 78,3
78,T79,Teacher 79,3
79,T80,Teacher 80,3
