,CourseID,CourseName,Basic,No. Classes
0,C01,Course 01,1,
1,C02,Course 02,0,2.0
2,C03,Course 03,0,3.0
3,C04,Course 04,1,2.0
4,C05,Course 05,0,3.0
5,C06,Course 06,0,0.0
6,C07,Course 07,0,
7,C08,Course 08,1,1.0
8,C09,Course 09,1,
9,C10,Course 10,1,2.0
10,C11,Course 11,0,1.0
11,C12,Course 12,1,
12,C13,Course 13,0,3.0
13,C14,Course 14,1,3.0
14,C15,Course 15,1,
15,C16,Course 16,1,1.0
16,C17,Course 17,1,3.0
17,C18,Course 18,0,0.0
18,C19,Course 19,1,1.0
19,C20,Course 20,0,1.0
20,C21,Course 21,0,2.0
21,C22,Course 22,1,2.0
22,C23,Course 23,0,2.0
23,C24,Course 24,0,2.0
24,C25,Course 25,1,0.0
25,C26,Course 26,0,0.0
26,C27,Course 27,0,
27,C28,Course 28,0,3.0
28,C29,Course 29,0,0.0
29,C30,Course 30,0,
30,C31,Course 31,0,
31,C32,Course 32,1,
32,C33,Course 33,1,0.0
33,C34,Course 34,0,3.0
34,C35,Course 35,0,2.0
35,C36,Course 36,0,3.0
36,C37,Course 37,0,2.0
37,C38,Course 38,0,0.0
38,C39,Course 39,1,0.0
39,C40,Course 40,1,3.0
40,C41,Course 41,1,
41,C42,Course 42,0,0.0
42,C43,Course 43,1,2.0
43,C44,Course 44,1,
44,C45,Course 45,0,0.0
45,C46,Course 46,0,0.0
46,C47,Course 47,1,3.0
47,C48,Course 48,0,2.0
48,C49,Course 49,1,0.0
49,C50,Course 50,1,2.0
50,C51,Course 51,0,2.0
51,C52,Course 52,0,
52,C53,Course 53,0,0.0
53,C54,Course 54,0,
54,C55,Course 55,1,0.0
55,C56,Course 56,1,3.0
56,C57,Course 57,1,1.0
57,C58,Course 58,1,0.0
58,C59,Course 59,1,
59,C60,Course 60,0,3.0
60,C61,Course 61,0,
61,C62,Course 62,0,1.0
62,C63,Course 63,1,0.0
63,C64,Course 64,1,3.0
64,C65,Course 65,0,3.0
65,C66,Course 66,1,2.0
66,C67,Course 67,1,0.0
67,C68,Course 68,0,2.0
68,C69,Course 69,1,0.0
69,C70,Course 70,0,2.0
70,C71,Course 71,1,
71,C72,Course 72,0,0.0
72,C73,Course 73,1,3.0
73,C74,Course 74,0,2.0
74,C75,Course 75,1,0.0
75,C76,Course 76,1,2.0
76,C77,Course 77,1,3.0
77,C78,Course 78,0,1.0
78,C79,Course 79,0,1.0
79,C80,Course 80,0,1.0
80,C81,Course 81,1,0.0
81,C82,Course 82,0,2.0
82,C83,Course 83,0,1.0
83,C84,Course 84,0,1.0
84,C85,Course 85,0,3.0
85,C86,Course 86,0,0.0
86,C87,Course 87,0,0.0
87,C88,Course 88,1,2.0
88,C89,Course 89,0,1.0
89,C90,Course 90,0,0.0
90,C91,Course 91,1,3.0
91,C92,Course 92,1,3.0
92,C93,Course 93,0,3.0
93,C94,Course 94,0,2.0
94,C95,Course 95,1,3.0
95,C96,Course 96,1,2.0
96,C97,Course 97,0,1.0
97,C98,Course 98,1,
98,C99,Course 99,1,3.0
99,C100,Course 100,1,1.0
100,C101,Course 101,0,2.0
101,C102,Course 102,0,2.0
102,C103,Course 103,1,3.0
103,C104,Course 104,1,0.0
104,C105,Course 105,1,
105,C106,Course 106,1,3.0
106,C107,Course 107,1,3.0
107,C108,Course 108,1,0.0
108,C109,Course 109,0,
109,C110,Course 110,1,2.0
110,C111,Course 111,0,
111,C112,Course 112,1,2.0
112,C113,Course 113,1,2.0
113,C114,Course 114,1,2.0
114,C115,Course 115,1,0.0
115,C116,Course 116,0,0.0
116,C117,Course 117,0,3.0
117,C118,Course 118,1,3.0
118,C119,Course 119,1,1.0
119,C120,Course 120,0,1.0
120,C121,Course 121,1,0.0
121,C122,Course 122,0,1.0
122,C123,Course 123,1,
123,C124,Course 124,0,3.0
124,C125,Course 125,1,1.0
125,C126,Course 126,1,0.0
126,C127,Course 127,0,3.0
127,C128,Course 128,0,0.0
128,C129,Course 129,0,2.0
129,C130,Course 130,1,1.0
130,C131,Course 131,0,1.0
131,C132,Course 132,0,3.0
132,C133,Course 133,1,3.0
133,C134,Course 134,0,3.0
134,C135,Course 135,0,1.0
135,C136,Course 136,1,3.0
136,C137,Course 137,0,
137,C138,Course 138,1,2.0
138,C139,Course 139,0,
139,C140,Course 140,0,0.0
140,C141,Course 141,0,
141,C142,Course 142,1,2.0
142,C143,Course 143,1,0.0
143,C144,Course 144,1,1.0
144,C145,Course 145,1,0.0
145,C146,Course 146,0,1.0
146,C147,Course 147,1,0.0
147,C148,Course 148,0,1.0
148,C149,Course 149,1,0.0
149,C150,Course 150,0,1.0
150,C151,Course 151,0,
151,C152,Course 152,0,3.0
152,C153,Course 153,1,3.0
153,C154,Course 154,1,
154,C155,Course 155,0,0.0
155,C156,Course 156,1,
156,C157,Course 157,0,2.0
157,C158,Course 158,0,0.0
158,C159,Course 159,0,3.0
159,C160,Course 160,1,1.0
160,C161,Course 161,1,
161,C162,Course 162,1,3.0
162,C163,Course 163,0,3.0
163,C164,Course 164,0,0.0
164,C165,Course 165,1,2.0
165,C166,Course 166,0,0.0
166,C167,Course 167,0,1.0
167,C168,Course 168,0,2.0
168,C169,Course 169,1,1.0
169,C170,Course 170,0,3.0
170,C171,Course 171,1,2.0
171,C172,Course 172,1,
172,C173,Course 173,1,3.0
173,C174,Course 174,0,2.0
174,C175,Course 175,1,0.0
175,C176,Course 176,0,3.0
