,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,3
1,T02,Teacher 02,1
2,T03,Teacher 03,3
3,T04,Teacher 04,3
4,T05,Teacher 05,2
5,T06,Teacher 06,1
6,T07,Teacher 07,2
7,T08,Teacher 08,3
8,T09,Teacher 09,3
9,T10,Teacher 10,2
10,T11,Teacher 11,1
11,T12,Teacher 12,3
12,T13,Teacher 13,2
13,T14,Teacher 14,3
14,T15,Teacher 15,2
15,T16,Teacher 16,0
16,T17,Teacher 17,1
17,T18,Teacher 18,0
18,T19,Teacher 19,0
19,T20,Teacher 20,2
20,T21,Teacher 21,0
21,T22,Teacher 22,2
22,T23,Teacher 23,3
23,T24,Teacher 24,3
24,T25,Teacher 25,3
25,T26,Teacher 26,3
26,T27,Teacher 27,1
27,T28,Teacher 28,0
28,T29,Teacher 29,1
29,T30,Teacher 30,3
30,T31,Teacher 31,3
31,T32,Teacher 32,0
32,T33,Teacher 33,2
33,T34,Teacher 34,1
34,T35,Teacher 35,1
35,T36,Teacher 36,2
36,T37,Teacher 37,2
37,T38,Teacher 38,3
38,T39,Teacher 39,2
39,T40,Teacher 40,0
40,T41,Teacher 41,3
41,T42,Teacher 42,1
42,T43,Teacher 43,0
43,T44,Teacher 44,3
44,T45,Teacher 45,3
45,T46,Teacher 46,0
46,T47,Teacher 47,2
47,T48,Teacher 48,2
48,T49,Teacher 49,0
49,T50,Teacher 50,3
50,T51,Teacher 51,1
51,T52,Teacher 52,0
52,T53,Teacher 53,1
53,T54,Teacher 54,3
54,T55,Teacher 55,0
55,T56,Teacher 56,0
56,T57,Teacher 57,0
57,T58,Teacher 58,3
58,T59,Teacher 59,0
59,T60,Teacher 60,0
60,T61,Teacher 61,2
61,T62,Teacher 62,2
62,T63,Teacher 63,1
63,T64,Teacher 64,2
64,T65,Teacher 65,2
65,T66,Teacher 66,1
66,T67,Teacher 67,1
67,T68,Teacher 68,1
68,T69,Teacher 69,1
69,T70,Teacher 70,1
