,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,0
1,T02,Teacher 02,2
2,T03,Teacher 03,1
3,T04,Teacher 04,2
4,T05,Teacher 05,3
5,T06,Teacher 06,3
6,T07,Teacher 07,3
7,T08,Teacher 08,1
8,T09,Teacher 09,2
9,T10,Teacher 10,3
10,T11,Teacher 11,1
11,T12,Teacher 12,1
12,T13,Teacher 13,0
13,T14,Teacher 14,0
14,T15,Teacher 15,3
15,T16,Teacher 16,2
16,T17,Teacher 17,2
17,T18,Teacher 18,1
18,T19,Teacher 19,0
19,T20,Teacher 20,2
20,T21,Teacher 21,1
21,T22,Teacher 22,1
22,T23,Teacher 23,0
23,T24,Teacher 24,1
24,T25,Teacher 25,1
25,T26,Teacher 26,0
26,T27,Teacher 27,2
27,T28,Teacher 28,0
28,T29,Teacher 29,2
29,T30,Teacher 30,1
30,T31,Teacher 31,1
31,T32,Teacher 32,1
32,T33,Teacher 33,0
33,T34,Teacher 34,0
34,T35,Teacher 35,1
35,T36,Teacher 36,3
36,T37,Teacher 37,1
37,T38,Teacher 38,1
38,T39,Teacher 39,1
39,T40,Teacher 40,3
40,T41,Teacher 41,2
41,T42,Teacher 42,2
42,T43,Teacher 43,1
43,T44,Teacher 44,0
44,T45,Teacher 45,2
45,T46,Teacher 46,1
46,T47,Teacher 47,2
47,T48,Teacher 48,0
48,T49,Teacher 49,0
49,T50,Teacher 50,2
50,T51,Teacher 51,3
51,T52,Teacher 52,1
52,T53,Teacher 53,2
53,T54,Teacher 54,3
54,T55,Teacher 55,0
55,T56,Teacher 56,0
56,T57,Teacher 57,0
57,T58,Teacher 58,0
58,T59,Teacher 59,3
59,T60,Teacher 60,1
60,T61,Teacher 61,0
61,T62,Teacher 62,0
62,T63,Teacher 63,0
63,T64,Teacher 64,0
64,T65,Teacher 65,2
65,T66,Teacher 66,1
66,T67,Teacher 67,2
67,T68,Teacher 68,3
68,T69,Teacher 69,3
69,T70,Teacher 70,2
70,T71,Teacher 71,0
71,T72,Teacher 72,2
72,T73,Teacher 73,0
73,T74,Teacher 74,2
74,T75,Teacher 75,2
75,T76,Teacher 76,2
76,T77,Teacher 77,3
77,T78,Teacher 78,3
78,T79,Teacher 79,2
79,T80,Teacher 80,0
80,T81,Teacher 81,2
81,T82,Teacher 82,0
82,T83,Teacher 83,2
83,T84,Teacher 84,0
84,T85,Teacher 85,1
85,T86,Teacher 86,1
86,T87,Teacher 87,0
87,T88,Teacher 88,3
88,T89,Teacher 89,0
89,T90,Teacher 90,2
90,T91,Teacher 91,0
91,T92,Teacher 92,2
92,T93,Teacher 93,0
93,T94,Teacher 94,1
94,T95,Teacher 95,1
95,T96,Teacher 96,0
96,T97,Teacher 97,0
97,T98,Teacher 98,3
98,T99,Teacher 99,2
99,T100,Teacher 100,2
100,T101,Teacher 101,1
101,T102,Teacher 102,3
102,T103,Teacher 103,2
103,T104,Teacher 104,2
104,T105,Teacher 105,2
105,T106,Teacher 106,3
106,T107,Teacher 107,1
107,T108,Teacher 108,0
108,T109,Teacher 109,0
109,T110,Teacher 110,1
110,T111,Teacher 111,3
111,T112,Teacher 112,3
112,T113,Teacher 113,1
113,T114,Teacher 114,0
114,T115,Teacher 115,0
115,T116,Teacher 116,1
116,T117,Teacher 117,1
117,T118,Teacher 118,2
118,T119,Teacher 119,1
119,T120,Teacher 120,2
120,T121,Teacher 121,3
121,T122,Teacher 122,1
122,T123,Teacher 123,1
123,T124,Teacher 124,2
124,T125,Teacher 125,0
125,T126,Teacher 126,0
126,T127,Teacher 127,1
127,T128,Teacher 128,1
128,T129,Teacher 129,2
129,T130,Teacher 130,3
130,T131,Teacher 131,3
131,T132,Teacher 132,2
132,T133,Teacher 133,1
133,T134,Teacher 134,1
134,T135,Teacher 135,0
