,CourseID,CourseName,Basic,No. Classes
0,C01,Course 01,0,1.0
1,C02,Course 02,1,3.0
2,C03,Course 03,0,1.0
3,C04,Course 04,1,0.0
4,C05,Course 05,1,3.0
5,C06,Course 06,0,3.0
6,C07,Course 07,1,
7,C08,Course 08,1,
8,C09,Course 09,1,0.0
9,C10,Course 10,1,1.0
10,C11,Course 11,1,2.0
11,C12,Course 12,0,3.0
12,C13,Course 13,0,
13,C14,Course 14,0,1.0
14,C15,Course 15,1,1.0
15,C16,Course 16,1,
16,C17,Course 17,0,1.0
17,C18,Course 18,0,1.0
18,C19,Course 19,1,2.0
19,C20,Course 20,1,3.0
20,C21,Course 21,1,1.0
21,C22,Course 22,1,2.0
22,C23,Course 23,1,1.0
23,C24,Course 24,1,1.0
24,C25,Course 25,0,
25,C26,Course 26,1,2.0
26,C27,Course 27,1,1.0
27,C28,Course 28,1,3.0
28,C29,Course 29,0,
29,C30,Course 30,0,
30,C31,Course 31,1,0.0
31,C32,Course 32,0,2.0
32,C33,Course 33,0,0.0
33,C34,Course 34,1,1.0
34,C35,Course 35,0,
35,C36,Course 36,0,0.0
36,C37,Course 37,1,3.0
37,C38,Course 38,1,0.0
38,C39,Course 39,1,
39,C40,Course 40,1,
40,C41,Course 41,0,1.0
41,C42,Course 42,1,2.0
42,C43,Course 43,0,1.0
43,C44,Course 44,1,0.0
44,C45,Course 45,0,3.0
45,C46,Course 46,0,2.0
46,C47,Course 47,1,2.0
47,C48,Course 48,0,2.0
48,C49,Course 49,1,0.0
49,C50,Course 50,1,3.0
50,C51,Course 51,0,0.0
51,C52,Course 52,0,
52,C53,Course 53,0,2.0
53,C54,Course 54,0,1.0
54,C55,Course 55,0,3.0
55,C56,Course 56,1,2.0
56,C57,Course 57,1,
57,C58,Course 58,0,0.0
58,C59,Course 59,1,1.0
59,C60,Course 60,0,0.0
60,C61,Course 61,1,
61,C62,Course 62,0,
62,C63,Course 63,1,0.0
63,C64,Course 64,1,1.0
64,C65,Course 65,0,0.0
65,C66,Course 66,0,2.0
66,C67,Course 67,1,3.0
67,C68,Course 68,1,2.0
68,C69,Course 69,1,3.0
69,C70,Course 70,0,2.0
70,C71,Course 71,1,0.0
71,C72,Course 72,0,2.0
72,C73,Course 73,0,1.0
73,C74,Course 74,0,0.0
74,C75,Course 75,0,1.0
75,C76,Course 76,1,3.0
76,C77,Course 77,1,0.0
77,C78,Course 78,1,1.0
78,C79,Course 79,1,3.0
79,C80,Course 80,1,3.0
80,C81,Course 81,0,3.0
81,C82,Course 82,0,3.0
82,C83,Course 83,0,2.0
83,C84,Course 84,1,
84,C85,Course 85,1,1.0
85,C86,Course 86,1,2.0
86,C87,Course 87,0,
87,C88,Course 88,1,3.0
88,C89,Course 89,1,0.0
89,C90,Course 90,1,0.0
90,C91,Course 91,0,0.0
91,C92,Course 92,1,
92,C93,Course 93,0,3.0
