,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,0
1,T02,Teacher 02,1
2,T03,Teacher 03,0
3,T04,Teacher 04,3
4,T05,Teacher 05,2
5,T06,Teacher 06,0
6,T07,Teacher 07,3
7,T08,Teacher 08,3
8,T09,Teacher 09,0
9,T10,Teacher 10,1
10,T11,Teacher 11,1
11,T12,Teacher 12,1
12,T13,Teacher 13,1
13,T14,Teacher 14,2
14,T15,Teacher 15,1
15,T16,Teacher 16,3
16,T17,Teacher 17,1
17,T18,Teacher 18,3
18,T19,Teacher 19,2
19,T20,Teacher 20,1
20,T21,Teacher 21,2
21,T22,Teacher 22,2
22,T23,Teacher 23,3
23,T24,Teacher 24,3
24,T25,Teacher 25,2
25,T26,Teacher 26,3
26,T27,Teacher 27,3
27,T28,Teacher 28,3
28,T29,Teacher 29,2
29,T30,Teacher 30,3
30,T31,Teacher 31,3
31,T32,Teacher 32,0
32,T33,Teacher 33,2
33,T34,Teacher 34,0
34,T35,Teacher 35,2
35,T36,Teacher 36,2
36,T37,Teacher 37,1
37,T38,Teacher 38,0
38,T39,Teacher 39,1
39,T40,Teacher 40,1
40,T41,Teacher 41,0
41,T42,Teacher 42,0
42,T43,Teacher 43,0
43,T44,Teacher 44,2
44,T45,Teacher 45,0
45,T46,Teacher 46,3
46,T47,Teacher 47,2
47,T48,Teacher 48,3
48,T49,Teacher 49,2
49,T50,Teacher 50,1
50,T51,Teacher 51,1
51,T52,Teacher 52,1
52,T53,Teacher 53,0
53,T54,Teacher 54,2
54,T55,Teacher 55,1
55,T56,Teacher 56,3
56,T57,Teacher 57,1
57,T58,Teacher 58,0
58,T59,Teacher 59,2
59,T60,Teacher 60,1
60,T61,Teacher 61,3
61,T62,Teacher 62,1
62,T63,Teacher 63,3
63,T64,Teacher 64,3
64,T65,Teacher 65,3
65,T66,Teacher 66,2
66,T67,Teacher 67,2
67,T68,Teacher 68,3
68,T69,Teacher 69,0
69,T70,Teacher 70,3
70,T71,Teacher 71,3
71,T72,Teacher 72,1
72,T73,Teacher 73,1
73,T74,Teacher 74,1
74,T75,Teacher 75,2
75,T76,Teacher 76,1
76,T77,Teacher 77,2
77,T78,Teacher 78,1
78,T79,Teacher 79,0
79,T80,Teacher 80,3
80,T81,Teacher 81,2
81,T82,Teacher 82,3
82,T83,Teacher 83,1
83,T84,Teacher 84,1
84,T85,Teacher 85,1
85,T86,Teacher 86,3
86,T87,Teacher 87,2
87,T88,Teacher 88,0
88,T89,Teacher 89,0
89,T90,Teacher 90,2
90,T91,Teacher 91,3
91,T92,Teacher 92,3
92,T93,Teacher 93,0
93,T94,Teacher 94,1
94,T95,Teacher 95,1
95,T96,Teacher 96,1
96,T97,Teacher 97,0
97,T98,Teacher 98,1
98,T99,Teacher 99,0
99,T100,Teacher 100,1
100,T101,Teacher 101,0
101,T102,Teacher 102,0
102,T103,Teacher 103,1
103,T104,Teacher 104,1
104,T105,Teacher 105,2
105,T106,Teacher 106,2
106,T107,Teacher 107,0
107,T108,Teacher 108,2
108,T109,Teacher 109,2
109,T110,Teacher 110,3
110,T111,Teacher 111,3
111,T112,Teacher 112,0
112,T113,Teacher 113,2
113,T114,Teacher 114,2
114,T115,Teacher 115,3
115,T116,Teacher 116,2
116,T117,Teacher 117,0
117,T118,Teacher 118,3
118,T119,Teacher 119,2
119,T120,Teacher 120,3
120,T121,Teacher 121,0
121,T122,Teacher 122,1
122,T123,Teacher 123,2
123,T124,Teacher 124,1
124,T125,Teacher 125,0
125,T126,Teacher 126,1
126,T127,Teacher 127,2
127,T128,Teacher 128,2
128,T129,Teacher 129,2
129,T130,Teacher 130,1
130,T131,Teacher 131,2
131,T132,Teacher 132,3
132,T133,Teacher 133,1
133,T134,Teacher 134,2
134,T135,Teacher 135,2
135,T136,Teacher 136,3
136,T137,Teacher 137,3
137,T138,Teacher 138,3
138,T139,Teacher 139,3
139,T140,Teacher 140,3
140,T141,Teacher 141,3
141,T142,Teacher 142,0
142,T143,Teacher 143,1
143,T144,Teacher 144,0
144,T145,Teacher 145,1
145,T146,Teacher 146,1
146,T147,Teacher 147,0
147,T148,Teacher 148,3
148,T149,Teacher 149,0
149,T150,Teacher 150,0
150,T151,Teacher 151,0
151,T152,Teacher 152,3
152,T153,Teacher 153,3
153,T154,Teacher 154,2
154,T155,Teacher 155,2
155,T156,Teacher 156,2
156,T157,Teacher 157,1
157,T158,Teacher 158,0
158,T159,Teacher 159,0
159,T160,Teacher 160,0
160,T161,Teacher 161,0
161,T162,Teacher 162,3
162,T163,Teacher 163,0
163,T164,Teacher 164,3
164,T165,Teacher 165,0
165,T166,Teacher 166,2
166,T167,Teacher 167,0
167,T168,Teacher 168,0
168,T169,Teacher 169,0
169,T170,Teacher 170,3
170,T171,Teacher 171,0
171,T172,Teacher 172,3
172,T173,Teacher 173,1
173,T174,Teacher 174,3
174,T175,Teacher 175,2
175,T176,Teacher 176,3
176,T177,Teacher 177,2
177,T178,Teacher 178,3
178,T179,Teacher 179,2
179,T180,Teacher 180,2
180,T181,Teacher 181,3
181,T182,Teacher 182,2
182,T183,Teacher 183,1
183,T184,Teacher 184,0
184,T185,Teacher 185,2
185,T186,Teacher 186,2
186,T187,Teacher 187,3
187,T188,Teacher 188,0
