,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,2
1,T02,Teacher 02,0
2,T03,Teacher 03,1
3,T04,Teacher 04,3
4,T05,Teacher 05,1
5,T06,Teacher 06,3
6,T07,Teacher 07,1
7,T08,Teacher 08,1
8,T09,Teacher 09,1
9,T10,Teacher 10,2
10,T11,Teacher 11,2
11,T12,Teacher 12,2
12,T13,Teacher 13,1
13,T14,Teacher 14,1
14,T15,Teacher 15,1
15,T16,Teacher 16,3
16,T17,Teacher 17,2
17,T18,Teacher 18,3
18,T19,Teacher 19,0
19,T20,Teacher 20,0
20,T21,Teacher 21,2
21,T22,Teacher 22,1
22,T23,Teacher 23,0
23,T24,Teacher 24,0
24,T25,Teacher 25,0
25,T26,Teacher 26,0
26,T27,Teacher 27,2
27,T28,Teacher 28,0
28,T29,Teacher 29,3
29,T30,Teacher 30,0
30,T31,Teacher 31,1
31,T32,Teacher 32,2
32,T33,Teacher 33,2
33,T34,Teacher 34,3
34,T35,Teacher 35,2
35,T36,Teacher 36,1
36,T37,Teacher 37,2
37,T38,Teacher 38,3
38,T39,Teacher 39,0
39,T40,Teacher 40,1
40,T41,Teacher 41,1
41,T42,Teacher 42,3
42,T43,Teacher 43,3
43,T44,Teacher 44,3
44,T45,Teacher 45,3
45,T46,Teacher 46,3
46,T47,Teacher 47,1
47,T48,Teacher 48,1
48,T49,Teacher 49,3
49,T50,Teacher 50,1
50,T51,Teacher 51,3
51,T52,Teacher 52,1
52,T53,Teacher 53,2
53,T54,Teacher 54,2
54,T55,Teacher 55,2
55,T56,Teacher 56,3
56,T57,Teacher 57,0
57,T58,Teacher 58,2
58,T59,Teacher 59,0
59,T60,Teacher 60,1
60,T61,Teacher 61,2
61,T62,Teacher 62,2
