,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,1
1,T02,Teacher 02,1
2,T03,Teacher 03,2
3,T04,Teacher 04,2
4,T05,Teacher 05,3
5,T06,Teacher 06,1
6,T07,Teacher 07,2
7,T08,Teacher 08,0
8,T09,Teacher 09,3
9,T10,Teacher 10,0
10,T11,Teacher 11,2
11,T12,Teacher 12,1
12,T13,Teacher 13,1
13,T14,Teacher 14,3
14,T15,Teacher 15,1
15,T16,Teacher 16,3
16,T17,Teacher 17,0
17,T18,Teacher 18,3
18,T19,Teacher 19,1
19,T20,Teacher 20,2
20,T21,Teacher 21,3
21,T22,Teacher 22,0
22,T23,Teacher 23,2
23,T24,Teacher 24,2
24,T25,Teacher 25,0
25,T26,Teacher 26,0
26,T27,Teacher 27,0
27,T28,Teacher 28,3
28,T29,Teacher 29,2
29,T30,Teacher 30,3
30,T31,Teacher 31,1
31,T32,Teacher 32,1
32,T33,Teacher 33,2
33,T34,Teacher 34,1
34,T35,Teacher 35,0
35,T36,Teacher 36,3
36,T37,Teacher 37,3
37,T38,Teacher 38,0
38,T39,Teacher 39,2
39,T40,Teacher 40,3
40,T41,Teacher 41,1
41,T42,Teacher 42,3
42,T43,Teacher 43,1
43,T44,Teacher 44,2
44,T45,Teacher 45,3
45,T46,Teacher 46,0
46,T47,Teacher 47,2
47,T48,Teacher 48,1
48,T49,Teacher 49,0
49,T50,Teacher 50,2
50,T51,Teacher 51,1
51,T52,Teacher 52,1
52,T53,Teacher 53,2
53,T54,Teacher 54,2
54,T55,Teacher 55,3
55,T56,Teacher 56,3
56,T57,Teacher 57,0
57,T58,Teacher 58,1
58,T59,Teacher 59,1
59,T60,Teacher 60,0
60,T61,Teacher 61,0
61,T62,Teacher 62,0
62,T63,Teacher 63,2
63,T64,Teacher 64,2
64,T65,Teacher 65,0
65,T66,Teacher 66,3
66,T67,Teacher 67,3
67,T68,Teacher 68,2
68,T69,Teacher 69,0
69,T70,Teacher 70,0
70,T71,Teacher 71,2
71,T72,Teacher 72,0
72,T73,Teacher 73,3
73,T74,Teacher 74,2
74,T75,Teacher 75,0
75,T76,Teacher 76,1
76,T77,Teacher 77,0
77,T78,Teacher 78,3
78,T79,Teacher 79,1
79,T80,Teacher 80,3
80,T81,Teacher 81,1
81,T82,Teacher 82,0
82,T83,Teacher 83,1
83,T84,Teacher 84,2
84,T85,Teacher 85,3
85,T86,Teacher 86,1
86,T87,Teacher 87,1
87,T88,Teacher 88,1
88,T89,Teacher 89,1
89,T90,Teacher 90,0
90,T91,Teacher 91,2
91,T92,Teacher 92,0
92,T93,Teacher 93,2
93,T94,Teacher 94,3
94,T95,Teacher 95,3
95,T96,Teacher 96,3
96,T97,Teacher 97,2
97,T98,Teacher 98,3
98,T99,Teacher 99,2
99,T100,Teacher 100,2
100,T101,Teacher 101,3
101,T102,Teacher 102,1
102,T103,Teacher 103,3
103,T104,Teacher 104,3
104,T105,Teacher 105,0
105,T106,Teacher 106,1
106,T107,Teacher 107,0
107,T108,Teacher 108,1
108,T109,Teacher 109,1
109,T110,Teacher 110,1
110,T111,Teacher 111,0
111,T112,Teacher 112,0
112,T113,Teacher 113,1
113,T114,Teacher 114,1
114,T115,Teacher 115,2
115,T116,Teacher 116,3
116,T117,Teacher 117,2
117,T118,Teacher 118,0
118,T119,Teacher 119,1
119,T120,Teacher 120,0
120,T121,Teacher 121,1
121,T122,Teacher 122,0
122,T123,Teacher 123,1
123,T124,Teacher 124,1
124,T125,Teacher 125,0
125,T126,Teacher 126,3
126,T127,Teacher 127,2
127,T128,Teacher 128,1
128,T129,Teacher 129,1
129,T130,Teacher 130,0
130,T131,Teacher 131,0
131,T132,Teacher 132,2
132,T133,Teacher 133,3
133,T134,Teacher 134,0
134,T135,Teacher 135,2
135,T136,Teacher 136,1
136,T137,Teacher 137,1
137,T138,Teacher 138,1
138,T139,Teacher 139,3
139,T140,Teacher 140,3
140,T141,Teacher 141,1
141,T142,Teacher 142,1
142,T143,Teacher 143,1
143,T144,Teacher 144,1
144,T145,Teacher 145,1
145,T146,Teacher 146,1
146,T147,Teacher 147,0
147,T148,Teacher 148,2
148,T149,Teacher 149,2
149,T150,Teacher 150,2
150,T151,Teacher 151,3
151,T152,Teacher 152,2
152,T153,Teacher 153,0
153,T154,Teacher 154,2
154,T155,Teacher 155,1
155,T156,Teacher 156,1
156,T157,Teacher 157,1
157,T158,Teacher 158,1
158,T159,Teacher 159,2
159,T160,Teacher 160,2
160,T161,Teacher 161,2
161,T162,Teacher 162,0
162,T163,Teacher 163,1
163,T164,Teacher 164,0
164,T165,Teacher 165,0
165,T166,Teacher 166,2
166,T167,Teacher 167,2
167,T168,Teacher 168,1
168,T169,Teacher 169,3
169,T170,Teacher 170,3
170,T171,Teacher 171,0
171,T172,Teacher 172,2
172,T173,Teacher 173,3
173,T174,Teacher 174,3
174,T175,Teacher 175,0
175,T176,Teacher 176,0
176,T177,Teacher 177,0
177,T178,Teacher 178,1
178,T179,Teacher 179,2
179,T180,Teacher 180,2
180,T181,Teacher 181,1
181,T182,Teacher 182,0
182,T183,Teacher 183,1
183,T184,Teacher 184,0
184,T185,Teacher 185,3
185,T186,Teacher 186,1
186,T187,Teacher 187,3
187,T188,Teacher 188,2
188,T189,Teacher 189,2
