,CourseID,CourseName,Basic,No. Classes
0,C01,Course 01,1,2.0
1,C02,Course 02,0,3.0
2,C03,Course 03,0,1.0
3,C04,Course 04,1,
4,C05,Course 05,0,3.0
5,C06,Course 06,1,2.0
6,C07,Course 07,1,3.0
7,C08,Course 08,1,0.0
8,C09,Course 09,0,0.0
9,C10,Course 10,0,
10,C11,Course 11,0,2.0
11,C12,Course 12,0,1.0
12,C13,Course 13,0,
13,C14,Course 14,1,1.0
14,C15,Course 15,1,2.0
15,C16,Course 16,0,
16,C17,Course 17,0,3.0
17,C18,Course 18,0,
18,C19,Course 19,1,3.0
19,C20,Course 20,1,0.0
20,C21,Course 21,1,0.0
21,C22,Course 22,0,
22,C23,Course 23,1,
23,C24,Course 24,1,1.0
