,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,3
1,T02,Teacher 02,1
2,T03,Teacher 03,0
3,T04,Teacher 04,0
4,T05,Teacher 05,0
5,T06,Teacher 06,2
6,T07,Teacher 07,1
7,T08,Teacher 08,1
8,T09,Teacher 09,0
9,T10,Teacher 10,1
10,T11,Teacher 11,0
11,T12,Teacher 12,1
12,T13,Teacher 13,3
13,T14,Teacher 14,1
14,T15,Teacher 15,2
15,T16,Teacher 16,2
16,T17,Teacher 17,0
17,T18,Teacher 18,1
18,T19,Teacher 19,1
19,T20,Teacher 20,3
20,T21,Teacher 21,2
21,T22,Teacher 22,3
22,T23,Teacher 23,3
23,T24,Teacher 24,0
24,T25,Teacher 25,2
25,T26,Teacher 26,2
26,T27,Teacher 27,2
27,T28,Teacher 28,0
28,T29,Teacher 29,2
29,T30,Teacher 30,1
30,T31,Teacher 31,2
31,T32,Teacher 32,1
32,T33,Teacher 33,3
33,T34,Teacher 34,3
34,T35,Teacher 35,3
35,T36,Teacher 36,0
36,T37,Teacher 37,1
37,T38,Teacher 38,1
38,T39,Teacher 39,1
39,T40,Teacher 40,1
40,T41,Teacher 41,1
41,T42,Teacher 42,2
42,T43,Teacher 43,3
43,T44,Teacher 44,2
44,T45,Teacher 45,2
45,T46,Teacher 46,2
46,T47,Teacher 47,0
47,T48,Teacher 48,2
48,T49,Teacher 49,3
49,T50,Teacher 50,1
50,T51,Teacher 51,1
51,T52,Teacher 52,1
52,T53,Teacher 53,3
53,T54,Teacher 54,2
54,T55,Teacher 55,0
55,T56,Teacher 56,3
56,T57,Teacher 57,3
