,CourseID,CourseName,Basic,No. Classes
0,C01,Course 01,1,0.0
1,C02,Course 02,0,2.0
2,C03,Course 03,0,
3,C04,Course 04,1,0.0
4,C05,Course 05,0,1.0
5,C06,Course 06,1,3.0
6,C07,Course 07,0,1.0
7,C08,Course 08,0,3.0
8,C09,Course 09,0,3.0
9,C10,Course 10,1,0.0
10,C11,Course 11,0,2.0
11,C12,Course 12,1,0.0
12,C13,Course 13,1,3.0
13,C14,Course 14,0,2.0
14,C15,Course 15,1,2.0
15,C16,Course 16,1,3.0
16,C17,Course 17,0,2.0
17,C18,Course 18,1,1.0
18,C19,Course 19,1,2.0
19,C20,Course 20,1,
20,C21,Course 21,0,1.0
21,C22,Course 22,1,3.0
22,C23,Course 23,0,
23,C24,Course 24,0,2.0
24,C25,Course 25,1,3.0
25,C26,Course 26,1,3.0
26,C27,Course 27,0,2.0
27,C28,Course 28,1,
28,C29,Course 29,1,1.0
29,C30,Course 30,1,3.0
30,C31,Course 31,1,1.0
31,C32,Course 32,1,1.0
32,C33,Course 33,0,2.0
33,C34,Course 34,0,2.0
34,C35,Course 35,1,3.0
35,C36,Course 36,1,3.0
36,C37,Course 37,1,
37,C38,Course 38,0,1.0
38,C39,Course 39,0,2.0
39,C40,Course 40,0,3.0
40,C41,Course 41,1,2.0
41,C42,Course 42,0,
42,C43,Course 43,0,1.0
43,C44,Course 44,0,
44,C45,Course 45,0,0.0
45,C46,Course 46,1,1.0
46,C47,Course 47,1,2.0
47,C48,Course 48,1,3.0
48,C49,Course 49,0,
49,C50,Course 50,1,2.0
50,C51,Course 51,1,0.0
51,C52,Course 52,1,0.0
52,C53,Course 53,1,
53,C54,Course 54,0,1.0
54,C55,Course 55,1,3.0
55,C56,Course 56,1,1.0
56,C57,Course 57,1,1.0
57,C58,Course 58,0,0.0
58,C59,Course 59,1,3.0
59,C60,Course 60,1,3.0
60,C61,Course 61,1,0.0
61,C62,Course 62,1,2.0
62,C63,Course 63,0,2.0
63,C64,Course 64,0,
64,C65,Course 65,0,1.0
65,C66,Course 66,1,0.0
66,C67,Course 67,0,
67,C68,Course 68,1,0.0
68,C69,Course 69,1,0.0
69,C70,Course 70,1,0.0
70,C71,Course 71,0,3.0
71,C72,Course 72,0,3.0
72,C73,Course 73,0,1.0
73,C74,Course 74,0,2.0
74,C75,Course 75,0,0.0
75,C76,Course 76,1,
76,C77,Course 77,1,2.0
77,C78,Course 78,1,
78,C79,Course 79,0,1.0
79,C80,Course 80,1,2.0
80,C81,Course 81,0,
81,C82,Course 82,1,2.0
82,C83,Course 83,1,3.0
83,C84,Course 84,1,1.0
84,C85,Course 85,1,
85,C86,Course 86,0,1.0
86,C87,Course 87,0,0.0
87,C88,Course 88,0,0.0
88,C89,Course 89,1,1.0
89,C90,Course 90,1,
90,C91,Course 91,1,3.0
91,C92,Course 92,0,
92,C93,Course 93,0,
93,C94,Course 94,0,3.0
94,C95,Course 95,1,
95,C96,Course 96,0,1.0
96,C97,Course 97,1,0.0
97,C98,Course 98,1,2.0
98,C99,Course 99,0,
99,C100,Course 100,0,3.0
100,C101,Course 101,0,
101,C102,Course 102,1,1.0
102,C103,Course 103,0,1.0
103,C104,Course 104,1,2.0
104,C105,Course 105,0,3.0
105,C106,Course 106,0,2.0
106,C107,Course 107,1,
107,C108,Course 108,1,
108,C109,Course 109,1,3.0
109,C110,Course 110,0,3.0
110,C111,Course 111,1,3.0
111,C112,Course 112,1,0.0
112,C113,Course 113,1,0.0
113,C114,Course 114,1,2.0
114,C115,Course 115,0,
115,C116,Course 116,1,
116,C117,Course 117,1,1.0
117,C118,Course 118,0,3.0
118,C119,Course 119,1,1.0
119,C120,Course 120,1,
120,C121,Course 121,1,3.0
121,C122,Course 122,0,0.0
122,C123,Course 123,1,0.0
123,C124,Course 124,1,1.0
124,C125,Course 125,0,
125,C126,Course 126,1,1.0
126,C127,Course 127,1,3.0
127,C128,Course 128,0,
128,C129,Course 129,0,2.0
129,C130,Course 130,0,2.0
130,C131,Course 131,0,
131,C132,Course 132,0,2.0
132,C133,Course 133,0,3.0
133,C134,Course 134,0,1.0
134,C135,Course 135,1,
135,C136,Course 136,1,2.0
136,C137,Course 137,0,
137,C138,Course 138,1,1.0
138,C139,Course 139,1,2.0
139,C140,Course 140,0,0.0
140,C141,Course 141,0,2.0
141,C142,Course 142,1,
142,C143,Course 143,1,3.0
143,C144,Course 144,1,1.0
144,C145,Course 145,1,
145,C146,Course 146,1,2.0
146,C147,Course 147,1,1.0
147,C148,Course 148,0,
148,C149,Course 149,0,2.0
149,C150,Course 150,0,
150,C151,Course 151,1,
151,C152,Course 152,1,0.0
152,C153,Course 153,0,3.0
153,C154,Course 154,0,3.0
154,C155,Course 155,0,
155,C156,Course 156,0,0.0
156,C157,Course 157,0,2.0
157,C158,Course 158,1,1.0
158,C159,Course 159,1,
159,C160,Course 160,0,2.0
160,C161,Course 161,0,1.0
161,C162,Course 162,0,3.0
162,C163,Course 163,0,0.0
163,C164,Course 164,1,2.0
164,C165,Course 165,0,
165,C166,Course 166,1,1.0
166,C167,Course 167,1,2.0
167,C168,Course 168,1,
168,C169,Course 169,0,2.0
169,C170,Course 170,1,
170,C171,Course 171,1,1.0
171,C172,Course 172,1,0.0
172,C173,Course 173,0,1.0
173,C174,Course 174,0,3.0
174,C175,Course 175,0,3.0
175,C176,Course 176,0,2.0
176,C177,Course 177,1,2.0
177,C178,Course 178,0,1.0
178,C179,Course 179,0,3.0
179,C180,Course 180,0,3.0
180,C181,Course 181,0,1.0
181,C182,Course 182,0,1.0
182,C183,Course 183,0,0.0
183,C184,Course 184,1,3.0
184,C185,Course 185,1,3.0
185,C186,Course 186,1,2.0
186,C187,Course 187,1,
187,C188,Course 188,1,2.0
188,C189,Course 189,0,
189,C190,Course 190,1,
190,C191,Course 191,1,0.0
191,C192,Course 192,0,2.0
192,C193,Course 193,0,3.0
193,C194,Course 194,1,
194,C195,Course 195,0,
195,C196,Course 196,0,
196,C197,Course 197,0,1.0
197,C198,Course 198,0,1.0
198,C199,Course 199,1,0.0
199,C200,Course 200,1,1.0
200,C201,Course 201,1,0.0
201,C202,Course 202,0,
202,C203,Course 203,1,
203,C204,Course 204,0,1.0
204,C205,Course 205,0,0.0
205,C206,Course 206,1,0.0
206,C207,Course 207,0,3.0
207,C208,Course 208,0,2.0
208,C209,Course 209,1,3.0
209,C210,Course 210,0,3.0
210,C211,Course 211,0,3.0
211,C212,Course 212,0,
212,C213,Course 213,0,1.0
213,C214,Course 214,1,
214,C215,Course 215,1,
215,C216,Course 216,1,3.0
216,C217,Course 217,1,0.0
217,C218,Course 218,1,
218,C219,Course 219,1,3.0
219,C220,Course 220,1,2.0
220,C221,Course 221,0,
221,C222,Course 222,0,
222,C223,Course 223,0,2.0
223,C224,Course 224,1,2.0
224,C225,Course 225,1,
225,C226,Course 226,1,3.0
226,C227,Course 227,1,1.0
227,C228,Course 228,1,2.0
228,C229,Course 229,0,1.0
229,C230,Course 230,1,1.0
230,C231,Course 231,1,2.0
231,C232,Course 232,0,1.0
232,C233,Course 233,1,0.0
233,C234,Course 234,0,1.0
234,C235,Course 235,1,
235,C236,Course 236,1,
236,C237,Course 237,1,0.0
237,C238,Course 238,1,1.0
238,C239,Course 239,0,3.0
239,C240,Course 240,0,0.0
240,C241,Course 241,1,3.0
241,C242,Course 242,1,3.0
242,C243,Course 243,1,1.0
243,C244,Course 244,1,1.0
244,C245,Course 245,0,3.0
245,C246,Course 246,1,
246,C247,Course 247,1,0.0
247,C248,Course 248,0,3.0
248,C249,Course 249,1,2.0
249,C250,Course 250,0,0.0
250,C251,Course 251,1,2.0
251,C252,Course 252,0,3.0
252,C253,Course 253,1,
253,C254,Course 254,1,3.0
254,C255,Course 255,0,3.0
255,C256,Course 256,0,3.0
256,C257,Course 257,0,2.0
257,C258,Course 258,1,1.0
258,C259,Course 259,0,
