,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,1
1,T02,Teacher 02,1
2,T03,Teacher 03,1
3,T04,Teacher 04,2
4,T05,Teacher 05,1
5,T06,Teacher 06,2
6,T07,Teacher 07,1
7,T08,Teacher 08,0
8,T09,Teacher 09,1
9,T10,Teacher 10,2
10,T11,Teacher 11,0
11,T12,Teacher 12,3
12,T13,Teacher 13,1
13,T14,Teacher 14,3
14,T15,Teacher 15,0
15,T16,Teacher 16,2
16,T17,Teacher 17,1
17,T18,Teacher 18,0
18,T19,Teacher 19,3
19,T20,Teacher 20,2
20,T21,Teacher 21,0
21,T22,Teacher 22,2
22,T23,Teacher 23,2
23,T24,Teacher 24,1
24,T25,Teacher 25,2
25,T26,Teacher 26,1
26,T27,Teacher 27,1
27,T28,Teacher 28,2
28,T29,Teacher 29,3
29,T30,Teacher 30,3
30,T31,Teacher 31,0
31,T32,Teacher 32,1
32,T33,Teacher 33,3
33,T34,Teacher 34,1
34,T35,Teacher 35,0
35,T36,Teacher 36,2
36,T37,Teacher 37,1
37,T38,Teacher 38,2
38,T39,Teacher 39,3
39,T40,Teacher 40,0
40,T41,Teacher 41,3
41,T42,Teacher 42,3
42,T43,Teacher 43,3
43,T44,Teacher 44,0
44,T45,Teacher 45,3
45,T46,Teacher 46,3
46,T47,Teacher 47,2
47,T48,Teacher 48,0
48,T49,Teacher 49,2
49,T50,Teacher 50,1
50,T51,Teacher 51,1
51,T52,Teacher 52,0
