,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,0
1,T02,Teacher 02,2
2,T03,Teacher 03,2
3,T04,Teacher 04,2
4,T05,Teacher 05,1
5,T06,Teacher 06,3
6,T07,Teacher 07,0
7,T08,Teacher 08,3
8,T09,Teacher 09,1
9,T10,Teacher 10,2
10,T11,Teacher 11,0
11,T12,Teacher 12,1
12,T13,Teacher 13,0
13,T14,Teacher 14,3
14,T15,Teacher 15,2
15,T16,Teacher 16,3
16,T17,Teacher 17,1
17,T18,Teacher 18,3
18,T19,Teacher 19,0
19,T20,Teacher 20,3
20,T21,Teacher 21,3
21,T22,Teacher 22,0
22,T23,Teacher 23,3
23,T24,Teacher 24,3
24,T25,Teacher 25,0
25,T26,Teacher 26,0
26,T27,Teacher 27,3
27,T28,Teacher 28,1
28,T29,Teacher 29,2
29,T30,Teacher 30,0
30,T31,Teacher 31,0
31,T32,Teacher 32,2
32,T33,Teacher 33,2
33,T34,Teacher 34,3
34,T35,Teacher 35,0
35,T36,Teacher 36,1
36,T37,Teacher 37,0
37,T38,Teacher 38,1
38,T39,Teacher 39,3
39,T40,Teacher 40,2
40,T41,Teacher 41,2
41,T42,Teacher 42,1
42,T43,Teacher 43,2
43,T44,Teacher 44,1
44,T45,Teacher 45,1
45,T46,Teacher 46,3
46,T47,Teacher 47,3
47,T48,Teacher 48,2
48,T49,Teacher 49,2
49,T50,Teacher 50,0
50,T51,Teacher 51,3
51,T52,Teacher 52,3
52,T53,Teacher 53,0
53,T54,Teacher 54,2
54,T55,Teacher 55,2
55,T56,Teacher 56,2
56,T57,Teacher 57,3
57,T58,Teacher 58,0
58,T59,Teacher 59,2
59,T60,Teacher 60,1
60,T61,Teacher 61,3
61,T62,Teacher 62,3
62,T63,Teacher 63,0
63,T64,Teacher 64,3
64,T65,Teacher 65,0
65,T66,Teacher 66,2
66,T67,Teacher 67,2
67,T68,Teacher 68,0
68,T69,Teacher 69,3
69,T70,Teacher 70,1
70,T71,Teacher 71,0
71,T72,Teacher 72,3
72,T73,Teacher 73,1
73,T74,Teacher 74,2
74,T75,Teacher 75,2
75,T76,Teacher 76,3
76,T77,Teacher 77,0
77,T78,Teacher 78,0
78,T79,Teacher 79,0
79,T80,Teacher 80,0
