,Course\Teacher,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
0,C01,4.0,,,,,,,,,
1,C02,3.0,,,,,,,,,
2,C03,2.0,1.0,,,,,,,,
3,C04,4.0,4.0,,,,,,,,
4,C05,,4.0,4.0,,,,,,,
5,C06,,2.0,4.0,,,,,,,
6,C07,,,1.0,3.0,,,,,,
7,C08,,,1.0,4.0,,,,,,
8,C09,,,,3.0,4.0,,,,,
9,C10,,,,4.0,1.0,,,,,
10,C11,,,,,2.0,2.0,,,,
11,C12,,,,,1.0,1.0,,,,
12,C13,,,,,,2.0,1.0,,,
13,C14,,,,,,4.0,3.0,,,
14,C15,,,,,,,4.0,4.0,,
15,C16,,,,,,,3.0,2.0,,
16,C17,,,,,,,,3.0,2.0,
17,C18,,,,,,,,1.0,1.0,
18,C19,,,,,,,,,1.0,4.0
19,C20,,,,,,,,,3.0,4.0
