,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,1
1,T02,Teacher 02,0
2,T03,Teacher 03,3
3,T04,Teacher 04,0
4,T05,Teacher 05,3
5,T06,Teacher 06,1
6,T07,Teacher 07,1
7,T08,Teacher 08,0
8,T09,Teacher 09,0
9,T10,Teacher 10,2
10,T11,Teacher 11,0
11,T12,Teacher 12,2
12,T13,Teacher 13,0
13,T14,Teacher 14,3
14,T15,Teacher 15,2
15,T16,Teacher 16,1
16,T17,Teacher 17,2
17,T18,Teacher 18,2
18,T19,Teacher 19,3
19,T20,Teacher 20,2
20,T21,Teacher 21,0
21,T22,Teacher 22,0
22,T23,Teacher 23,3
23,T24,Teacher 24,0
24,T25,Teacher 25,2
25,T26,Teacher 26,1
26,T27,Teacher 27,0
27,T28,Teacher 28,1
28,T29,Teacher 29,2
29,T30,Teacher 30,1
30,T31,Teacher 31,2
31,T32,Teacher 32,2
32,T33,Teacher 33,2
33,T34,Teacher 34,1
34,T35,Teacher 35,0
35,T36,Teacher 36,1
36,T37,Teacher 37,3
37,T38,Teacher 38,1
38,T39,Teacher 39,1
39,T40,Teacher 40,2
40,T41,Teacher 41,1
41,T42,Teacher 42,3
42,T43,Teacher 43,3
43,T44,Teacher 44,3
44,T45,Teacher 45,1
45,T46,Teacher 46,0
46,T47,Teacher 47,0
47,T48,Teacher 48,3
48,T49,Teacher 49,3
49,T50,Teacher 50,3
50,T51,Teacher 51,3
51,T52,Teacher 52,1
52,T53,Teacher 53,3
53,T54,Teacher 54,1
54,T55,Teacher 55,2
55,T56,Teacher 56,2
56,T57,Teacher 57,2
57,T58,Teacher 58,1
58,T59,Teacher 59,2
59,T60,Teacher 60,2
60,T61,Teacher 61,1
61,T62,Teacher 62,2
62,T63,Teacher 63,3
63,T64,Teacher 64,0
64,T65,Teacher 65,1
65,T66,Teacher 66,3
66,T67,Teacher 67,0
67,T68,Teacher 68,1
68,T69,Teacher 69,3
69,T70,Teacher 70,0
70,T71,Teacher 71,3
71,T72,Teacher 72,1
72,T73,Teacher 73,3
73,T74,Teacher 74,2
74,T75,Teacher 75,3
75,T76,Teacher 76,1
76,T77,Teacher 77,0
77,T78,Teacher 78,1
78,T79,Teacher 79,1
79,T80,Teacher 80,0
80,T81,Teacher 81,3
81,T82,Teacher 82,3
82,T83,Teacher 83,0
83,T84,Teacher 84,0
84,T85,Teacher 85,2
85,T86,Teacher 86,2
86,T87,Teacher 87,0
87,T88,Teacher 88,0
88,T89,Teacher 89,2
89,T90,Teacher 90,3
90,T91,Teacher 91,2
91,T92,Teacher 92,3
92,T93,Teacher 93,3
93,T94,Teacher 94,0
94,T95,Teacher 95,0
95,T96,Teacher 96,0
96,T97,Teacher 97,3
97,T98,Teacher 98,2
98,T99,Teacher 99,2
99,T100,Teacher 100,2
100,T101,Teacher 101,3
101,T102,Teacher 102,3
102,T103,Teacher 103,1
103,T104,Teacher 104,2
104,T105,Teacher 105,2
105,T106,Teacher 106,3
106,T107,Teacher 107,3
107,T108,Teacher 108,2
108,T109,Teacher 109,1
109,T110,Teacher 110,1
110,T111,Teacher 111,3
111,T112,Teacher 112,2
112,T113,Teacher 113,3
113,T114,Teacher 114,0
114,T115,Teacher 115,0
115,T116,Teacher 116,0
116,T117,Teacher 117,0
117,T118,Teacher 118,1
118,T119,Teacher 119,2
119,T120,Teacher 120,1
120,T121,Teacher 121,0
121,T122,Teacher 122,0
122,T123,Teacher 123,0
123,T124,Teacher 124,1
124,T125,Teacher 125,0
125,T126,Teacher 126,2
126,T127,Teacher 127,1
127,T128,Teacher 128,2
128,T129,Teacher 129,0
129,T130,Teacher 130,0
130,T131,Teacher 131,3
131,T132,Teacher 132,0
132,T133,Teacher 133,0
133,T134,Teacher 134,0
134,T135,Teacher 135,1
135,T136,Teacher 136,3
136,T137,Teacher 137,2
137,T138,Teacher 138,2
138,T139,Teacher 139,3
139,T140,Teacher 140,2
140,T141,Teacher 141,3
141,T142,Teacher 142,2
142,T143,Teacher 143,2
143,T144,Teacher 144,0
144,T145,Teacher 145,2
145,T146,Teacher 146,2
146,T147,Teacher 147,0
147,T148,Teacher 148,1
148,T149,Teacher 149,3
149,T150,Teacher 150,1
150,T151,Teacher 151,3
151,T152,Teacher 152,1
152,T153,Teacher 153,2
153,T154,Teacher 154,1
154,T155,Teacher 155,0
