,TeacherID,TeacherName,Max Classes
0,T01,Teacher 01,1
1,T02,Teacher 02,1
2,T03,Teacher 03,2
3,T04,Teacher 04,2
4,T05,Teacher 05,2
5,T06,Teacher 06,1
6,T07,Teacher 07,3
7,T08,Teacher 08,2
8,T09,Teacher 09,2
9,T10,Teacher 10,0
10,T11,Teacher 11,0
11,T12,Teacher 12,3
12,T13,Teacher 13,2
13,T14,Teacher 14,2
14,T15,Teacher 15,2
15,T16,Teacher 16,2
16,T17,Teacher 17,0
17,T18,Teacher 18,0
18,T19,Teacher 19,3
19,T20,Teacher 20,1
20,T21,Teacher 21,1
21,T22,Teacher 22,0
22,T23,Teacher 23,1
23,T24,Teacher 24,3
24,T25,Teacher 25,2
25,T26,Teacher 26,2
26,T27,Teacher 27,1
27,T28,Teacher 28,2
28,T29,Teacher 29,2
29,T30,Teacher 30,1
30,T31,Teacher 31,0
31,T32,Teacher 32,3
32,T33,Teacher 33,1
33,T34,Teacher 34,0
34,T35,Teacher 35,3
35,T36,Teacher 36,0
36,T37,Teacher 37,1
37,T38,Teacher 38,0
38,T39,Teacher 39,2
39,T40,Teacher 40,1
40,T41,Teacher 41,1
41,T42,Teacher 42,3
42,T43,Teacher 43,0
43,T44,Teacher 44,0
44,T45,Teacher 45,0
45,T46,Teacher 46,2
46,T47,Teacher 47,2
47,T48,Teacher 48,3
48,T49,Teacher 49,0
49,T50,Teacher 50,3
50,T51,Teacher 51,2
51,T52,Teacher 52,2
52,T53,Teacher 53,0
53,T54,Teacher 54,3
54,T55,Teacher 55,3
55,T56,Teacher 56,1
56,T57,Teacher 57,1
57,T58,Teacher 58,0
58,T59,Teacher 59,3
59,T60,Teacher 60,3
60,T61,Teacher 61,2
61,T62,Teacher 62,2
62,T63,Teacher 63,3
63,T64,Teacher 64,1
64,T65,Teacher 65,1
65,T66,Teacher 66,2
66,T67,Teacher 67,1
67,T68,Teacher 68,2
68,T69,Teacher 69,0
69,T70,Teacher 70,0
70,T71,Teacher 71,3
71,T72,Teacher 72,3
72,T73,Teacher 73,1
73,T74,Teacher 74,2
74,T75,Teacher 75,2
75,T76,Teacher 76,0
76,T77,Teacher 77,2
77,T78,Teacher 78,1
78,T79,Teacher 79,3
79,T80,Teacher 80,2
80,T81,Teacher 81,1
81,T82,Teacher 82,2
82,T83,Teacher 83,1
83,T84,Teacher 84,3
84,T85,Teacher 85,2
85,T86,Teacher 86,2
86,T87,Teacher 87,1
87,T88,Teacher 88,0
88,T89,Teacher 89,0
89,T90,Teacher 90,0
90,T91,Teacher 91,2
91,T92,Teacher 92,3
92,T93,Teacher 93,3
93,T94,Teacher 94,1
94,T95,Teacher 95,2
95,T96,Teacher 96,1
96,T97,Teacher 97,0
97,T98,Teacher 98,0
98,T99,Teacher 99,1
99,T100,Teacher 100,2
100,T101,Teacher 101,0
101,T102,Teacher 102,1
102,T103,Teacher 103,2
103,T104,Teacher 104,1
104,T105,Teacher 105,1
105,T106,Teacher 106,1
106,T107,Teacher 107,3
107,T108,Teacher 108,0
108,T109,Teacher 109,1
109,T110,Teacher 110,3
110,T111,Teacher 111,0
111,T112,Teacher 112,0
112,T113,Teacher 113,2
113,T114,Teacher 114,2
114,T115,Teacher 115,3
115,T116,Teacher 116,3
116,T117,Teacher 117,3
117,T118,Teacher 118,1
118,T119,Teacher 119,3
119,T120,Teacher 120,2
120,T121,Teacher 121,2
121,T122,Teacher 122,0
122,T123,Teacher 123,2
123,T124,Teacher 124,0
124,T125,Teacher 125,1
125,T126,Teacher 126,1
126,T127,Teacher 127,0
127,T128,Teacher 128,2
128,T129,Teacher 129,0
129,T130,Teacher 130,2
130,T131,Teacher 131,2
131,T132,Teacher 132,3
132,T133,Teacher 133,2
133,T134,Teacher 134,3
134,T135,Teacher 135,3
135,T136,Teacher 136,1
136,T137,Teacher 137,2
137,T138,Teacher 138,1
138,T139,Teacher 139,0
139,T140,Teacher 140,3
140,T141,Teacher 141,2
141,T142,Teacher 142,0
142,T143,Teacher 143,3
143,T144,Teacher 144,1
144,T145,Teacher 145,1
145,T146,Teacher 146,0
146,T147,Teacher 147,2
147,T148,Teacher 148,1
148,T149,Teacher 149,3
149,T150,Teacher 150,1
150,T151,Teacher 151,3
151,T152,Teacher 152,1
152,T153,Teacher 153,0
153,T154,Teacher 154,3
154,T155,Teacher 155,1
155,T156,Teacher 156,2
156,T157,Teacher 157,3
157,T158,Teacher 158,1
158,T159,Teacher 159,3
159,T160,Teacher 160,2
160,T161,Teacher 161,1
161,T162,Teacher 162,2
162,T163,Teacher 163,3
163,T164,Teacher 164,1
164,T165,Teacher 165,1
165,T166,Teacher 166,2
166,T167,Teacher 167,0
167,T168,Teacher 168,3
168,T169,Teacher 169,0
169,T170,Teacher 170,1
170,T171,Teacher 171,1
171,T172,Teacher 172,0
172,T173,Teacher 173,1
173,T174,Teacher 174,0
174,T175,Teacher 175,2
175,T176,Teacher 176,3
176,T177,Teacher 177,0
